StockCode,TotalRevenue,TotalQuantity,PurchaseFrequency,UniqueCustomers,ReturnRate,SalesRevenue,ReturnLoss,NetRevenue,Cluster,Category,Insight
16049,82.08,504,5,5,0,82.08,0,82.08,0,Low Demand,📉 Low Performance
16052,105.29,467,6,5,0,105.29,0,105.29,0,Low Demand,📉 Low Performance
16054,127.56,1058,34,29,1,140.52,-12.96,127.56,0,Low Demand,📉 Low Performance
16151A,61.25,49,3,3,0,61.25,0,61.25,0,Low Demand,📉 Low Performance
16156L,199.5,475,18,17,0,199.5,0,199.5,0,Low Demand,📉 Low Performance
16156S,2331,5800,167,135,0,2331,0,2331,2,Hidden Loss,✅ Profitable Product
16161G,70,700,22,22,0,70,0,70,0,Low Demand,📉 Low Performance
16161M,10.5,25,1,1,0,10.5,0,10.5,0,Low Demand,📉 Low Performance
16161P,2980.42,7201,249,189,1,2990.92,-10.5,2980.42,2,Hidden Loss,✅ Profitable Product
16161U,1677,4050,135,105,1,1687.5,-10.5,1677,0,Low Demand,✅ Profitable Product
16162L,11.05,17,6,5,0,11.05,0,11.05,0,Low Demand,📉 Low Performance
16162M,10.92,26,7,6,0,10.92,0,10.92,0,Low Demand,📉 Low Performance
16168M,138.18,329,20,19,0,138.18,0,138.18,0,Low Demand,📉 Low Performance
16169E,1839.96,4438,151,143,2,1892.46,-52.5,1839.96,2,Hidden Loss,✅ Profitable Product
16169K,84,200,8,8,0,84,0,84,0,Low Demand,📉 Low Performance
16169M,277.2,660,25,24,0,277.2,0,277.2,0,Low Demand,✅ Profitable Product
16169N,10.5,25,1,1,0,10.5,0,10.5,0,Low Demand,📉 Low Performance
16169P,21,50,2,2,0,21,0,21,0,Low Demand,📉 Low Performance
16202A,3.5,7,2,2,0,3.5,0,3.5,0,Low Demand,📉 Low Performance
16202B,14.5,29,2,2,0,14.5,0,14.5,0,Low Demand,📉 Low Performance
16202E,1.95,14,4,4,1,7.5,-5.55,1.95,0,Low Demand,📉 Low Performance
16206B,8.75,7,2,2,0,8.75,0,8.75,0,Low Demand,📉 Low Performance
16207A,38.35,13,5,4,0,38.35,0,38.35,0,Low Demand,📉 Low Performance
16207B,11.31,4,3,3,0,11.31,0,11.31,0,Low Demand,📉 Low Performance
16216,227.14,3316,41,38,0,227.14,0,227.14,0,Low Demand,✅ Profitable Product
16218,253.2,3760,50,43,0,253.2,0,253.2,0,Low Demand,✅ Profitable Product
16219,307.02,2867,48,41,1,309.9,-2.88,307.02,0,Low Demand,✅ Profitable Product
16225,599.34,762,75,57,0,599.34,0,599.34,0,Low Demand,✅ Profitable Product
16235,525.54,2664,81,68,1,525.75,-0.21,525.54,0,Low Demand,✅ Profitable Product
16236,266.56,1296,73,59,0,266.56,0,266.56,0,Low Demand,✅ Profitable Product
16237,873.48,4538,163,109,1,886.08,-12.6,873.48,2,Hidden Loss,✅ Profitable Product
16238,265.51,1261,78,61,0,265.51,0,265.51,0,Low Demand,✅ Profitable Product
16244B,7.85,7,2,2,0,7.85,0,7.85,0,Low Demand,📉 Low Performance
16248B,16.25,13,7,7,0,16.25,0,16.25,0,Low Demand,📉 Low Performance
16254,27.91,31,9,7,0,27.91,0,27.91,0,Low Demand,📉 Low Performance
16258A,156.11,444,39,29,1,156.53,-0.42,156.11,0,Low Demand,📉 Low Performance
16259,317.92,3272,32,28,1,326.56,-8.64,317.92,0,Low Demand,✅ Profitable Product
17001,20.88,72,1,1,0,20.88,0,20.88,0,Low Demand,📉 Low Performance
17003,5807.25,22960,209,136,3,5980.05,-172.8,5807.25,2,Hidden Loss,✅ Profitable Product
17007B,50.4,24,2,2,0,50.4,0,50.4,0,Low Demand,📉 Low Performance
17011F,62.15,80,6,6,0,62.15,0,62.15,0,Low Demand,📉 Low Performance
17012A,244.9,270,24,21,0,244.9,0,244.9,0,Low Demand,✅ Profitable Product
17012B,422.55,455,36,33,0,422.55,0,422.55,0,Low Demand,✅ Profitable Product
17012C,344.35,363,43,37,0,344.35,0,344.35,0,Low Demand,✅ Profitable Product
17012D,366.35,387,44,35,0,366.35,0,366.35,0,Low Demand,✅ Profitable Product
17012E,52.05,59,3,3,0,52.05,0,52.05,0,Low Demand,📉 Low Performance
17012F,329.05,365,42,33,0,329.05,0,329.05,0,Low Demand,✅ Profitable Product
17013D,257.88,532,11,10,0,257.88,0,257.88,0,Low Demand,✅ Profitable Product
17014A,67.83,154,7,7,0,67.83,0,67.83,0,Low Demand,📉 Low Performance
17021,643.14,2427,47,30,0,643.14,0,643.14,0,Low Demand,✅ Profitable Product
17028J,2.52,6,1,1,0,2.52,0,2.52,0,Low Demand,📉 Low Performance
17038,138.1,1501,19,18,0,138.1,0,138.1,0,Low Demand,📉 Low Performance
17084A,42,200,7,7,0,42,0,42,0,Low Demand,📉 Low Performance
17084J,47.25,225,8,8,0,47.25,0,47.25,0,Low Demand,📉 Low Performance
17084N,212.75,1025,32,25,0,212.75,0,212.75,0,Low Demand,✅ Profitable Product
17084P,73.29,349,13,12,0,73.29,0,73.29,0,Low Demand,📉 Low Performance
17084R,760.32,4032,27,16,0,760.32,0,760.32,0,Low Demand,✅ Profitable Product
17090A,107.45,109,10,9,0,107.45,0,107.45,0,Low Demand,📉 Low Performance
17090D,36.25,29,12,6,0,36.25,0,36.25,0,Low Demand,📉 Low Performance
17091A,99.29,172,25,19,0,99.29,0,99.29,0,Low Demand,📉 Low Performance
17091J,876.34,2066,87,66,0,876.34,0,876.34,0,Low Demand,✅ Profitable Product
17096,443.76,2516,13,12,0,443.76,0,443.76,0,Low Demand,✅ Profitable Product
17107D,436.05,171,46,42,0,436.05,0,436.05,0,Low Demand,✅ Profitable Product
17109D,32.35,61,5,4,0,32.35,0,32.35,0,Low Demand,📉 Low Performance
17129F,289.55,425,20,11,1,291.25,-1.7,289.55,0,Low Demand,✅ Profitable Product
17136A,33.75,404,17,16,0,33.75,0,33.75,0,Low Demand,📉 Low Performance
17164B,12.18,29,9,9,0,12.18,0,12.18,0,Low Demand,📉 Low Performance
17165D,28.35,27,7,6,0,28.35,0,28.35,0,Low Demand,📉 Low Performance
17174,3.78,9,3,3,0,3.78,0,3.78,0,Low Demand,📉 Low Performance
17191A,15,4,2,1,0,15,0,15,0,Low Demand,📉 Low Performance
18007,383.76,5856,17,15,0,383.76,0,383.76,0,Low Demand,✅ Profitable Product
18094C,153.1,134,15,13,0,153.1,0,153.1,0,Low Demand,📉 Low Performance
18097A,12.75,5,4,4,0,12.75,0,12.75,0,Low Demand,📉 Low Performance
18097C,899.55,381,54,43,2,1471.35,-571.8,899.55,0,Low Demand,✅ Profitable Product
18098C,540.55,193,36,24,0,540.55,0,540.55,0,Low Demand,✅ Profitable Product
20615,233.34,231,35,28,0,233.34,0,233.34,0,Low Demand,✅ Profitable Product
20616,122.78,134,25,19,0,122.78,0,122.78,0,Low Demand,📉 Low Performance
20617,137.74,66,26,20,0,137.74,0,137.74,0,Low Demand,📉 Low Performance
20618,137.88,68,28,20,0,137.88,0,137.88,0,Low Demand,📉 Low Performance
20619,206.23,142,22,16,0,206.23,0,206.23,0,Low Demand,✅ Profitable Product
20622,240.18,163,32,24,0,240.18,0,240.18,0,Low Demand,✅ Profitable Product
20652,194.76,150,33,26,0,194.76,0,194.76,0,Low Demand,📉 Low Performance
20653,43.67,33,6,5,0,43.67,0,43.67,0,Low Demand,📉 Low Performance
20654,126.69,105,23,21,0,126.69,0,126.69,0,Low Demand,📉 Low Performance
20655,109.11,89,34,20,0,109.11,0,109.11,0,Low Demand,📉 Low Performance
20657,76.39,61,22,20,0,76.39,0,76.39,0,Low Demand,📉 Low Performance
20658,410,328,59,44,0,410,0,410,0,Low Demand,✅ Profitable Product
20659,140.81,95,29,18,0,140.81,0,140.81,0,Low Demand,📉 Low Performance
20661,35.07,9,5,3,0,35.07,0,35.07,0,Low Demand,📉 Low Performance
20662,40.97,11,5,4,0,40.97,0,40.97,0,Low Demand,📉 Low Performance
20663,11.69,3,3,3,0,11.69,0,11.69,0,Low Demand,📉 Low Performance
20664,17.7,6,3,3,0,17.7,0,17.7,0,Low Demand,📉 Low Performance
20665,998.2,340,73,58,0,998.2,0,998.2,0,Low Demand,✅ Profitable Product
20666,11.8,4,4,4,0,11.8,0,11.8,0,Low Demand,📉 Low Performance
20667,2.95,1,1,1,0,2.95,0,2.95,0,Low Demand,📉 Low Performance
20668,1408.56,12714,181,111,0,1408.56,0,1408.56,2,Hidden Loss,✅ Profitable Product
20669,243.75,195,42,36,0,243.75,0,243.75,0,Low Demand,✅ Profitable Product
20670,29.28,8,6,5,0,29.28,0,29.28,0,Low Demand,📉 Low Performance
20671,12.5,10,2,2,0,12.5,0,12.5,0,Low Demand,📉 Low Performance
20674,1641.56,1367,150,101,1,1649.06,-7.5,1641.56,0,Low Demand,✅ Profitable Product
20675,3164.9,2717,225,150,2,3179.9,-15,3164.9,2,Hidden Loss,✅ Profitable Product
20676,5019.48,4341,301,186,3,5046.98,-27.5,5019.48,2,Hidden Loss,✅ Profitable Product
20677,3636.33,3154,221,133,1,3642.58,-6.25,3636.33,2,Hidden Loss,✅ Profitable Product
20678,6.6,4,1,1,0,6.6,0,6.6,0,Low Demand,📉 Low Performance
20679,9002.32,1621,273,142,3,9055.87,-53.55,9002.32,2,Hidden Loss,✅ Profitable Product
20681,399.75,123,35,30,2,406.25,-6.5,399.75,0,Low Demand,✅ Profitable Product
20682,3564.66,1120,188,140,6,3629.66,-65,3564.66,2,Hidden Loss,✅ Profitable Product
20684,253.5,78,32,30,0,253.5,0,253.5,0,Low Demand,✅ Profitable Product
20685,24936.63,3835,583,329,7,25397.85,-461.22,24936.63,1,Stable,✅ Profitable Product
20686,832.13,255,64,51,0,832.13,0,832.13,0,Low Demand,✅ Profitable Product
20694,135,36,10,9,0,135,0,135,0,Low Demand,📉 Low Performance
20695,21.25,5,4,4,0,21.25,0,21.25,0,Low Demand,📉 Low Performance
20696,120,32,10,10,0,120,0,120,0,Low Demand,📉 Low Performance
20697,48.45,19,9,8,0,48.45,0,48.45,0,Low Demand,📉 Low Performance
20698,40.8,16,7,7,0,40.8,0,40.8,0,Low Demand,📉 Low Performance
20699,73.95,29,11,11,0,73.95,0,73.95,0,Low Demand,📉 Low Performance
20700,37.5,10,4,4,0,37.5,0,37.5,0,Low Demand,📉 Low Performance
20701,22.5,6,3,3,0,22.5,0,22.5,0,Low Demand,📉 Low Performance
20702,544,128,40,31,0,544,0,544,0,Low Demand,✅ Profitable Product
20703,-25.5,-6,4,3,3,4.25,-29.75,-25.5,0,Low Demand,🚨 Loss Making Product
20704,598.65,207,40,38,1,626.45,-27.8,598.65,0,Low Demand,✅ Profitable Product
20705,426.9,142,29,27,1,428.85,-1.95,426.9,0,Low Demand,✅ Profitable Product
20707,194.27,154,32,20,1,195.52,-1.25,194.27,0,Low Demand,📉 Low Performance
20711,7648.97,4176,252,152,7,7689.28,-40.31,7648.97,2,Hidden Loss,✅ Profitable Product
20712,15085.14,7947,501,248,9,15511.6,-426.46,15085.14,1,Stable,✅ Profitable Product
20713,18645.49,10223,417,207,6,19076.92,-431.43,18645.49,1,Stable,✅ Profitable Product
20716,373.5,314,34,31,0,373.5,0,373.5,0,Low Demand,✅ Profitable Product
20717,2443.38,2026,232,150,1,2455.88,-12.5,2443.38,2,Hidden Loss,✅ Profitable Product
20718,5086.07,4240,388,237,4,5115.31,-29.24,5086.07,2,Hidden Loss,✅ Profitable Product
20719,7189.84,9125,539,238,8,7277.24,-87.4,7189.84,2,Hidden Loss,✅ Profitable Product
20723,5458.24,6772,504,232,12,5520.95,-62.71,5458.24,2,Hidden Loss,✅ Profitable Product
20724,9955.54,12586,755,335,16,10125.85,-170.31,9955.54,1,Stable,✅ Profitable Product
20725,27520.05,17345,1330,532,42,28338.45,-818.4,27520.05,1,Stable,✅ Profitable Product
20726,14402.21,9033,839,373,19,14537.11,-134.9,14402.21,1,Stable,✅ Profitable Product
20727,17838.85,11173,1073,458,21,18024.55,-185.7,17838.85,1,Stable,✅ Profitable Product
20728,16938.18,10606,989,481,23,17265.68,-327.5,16938.18,1,Stable,✅ Profitable Product
20731,92.5,74,8,8,0,92.5,0,92.5,0,Low Demand,📉 Low Performance
20733,472.9,618,47,30,1,688.9,-216,472.9,0,Low Demand,✅ Profitable Product
20735,121.3,158,30,11,0,121.3,0,121.3,0,Low Demand,📉 Low Performance
20748,675.75,53,30,26,0,675.75,0,675.75,0,Low Demand,✅ Profitable Product
20749,12059.81,1711,371,239,6,12123.41,-63.6,12059.81,2,Hidden Loss,✅ Profitable Product
20750,12169.1,1706,369,235,4,12216.8,-47.7,12169.1,2,Hidden Loss,✅ Profitable Product
20751,1982.16,972,172,127,1,1984.26,-2.1,1982.16,0,Low Demand,✅ Profitable Product
20752,766.5,365,117,92,2,770.7,-4.2,766.5,0,Low Demand,✅ Profitable Product
20754,2668.38,1355,240,153,1,2670.48,-2.1,2668.38,2,Hidden Loss,✅ Profitable Product
20755,248.2,292,50,44,0,248.2,0,248.2,0,Low Demand,✅ Profitable Product
20756,53.55,63,22,20,0,53.55,0,53.55,0,Low Demand,📉 Low Performance
20757,140.18,164,30,30,0,140.18,0,140.18,0,Low Demand,📉 Low Performance
20758,136.85,161,41,35,0,136.85,0,136.85,0,Low Demand,📉 Low Performance
20759,54.4,64,20,17,0,54.4,0,54.4,0,Low Demand,📉 Low Performance
20760,58.65,69,21,18,0,58.65,0,58.65,0,Low Demand,📉 Low Performance
20761,419.92,110,52,46,0,419.92,0,419.92,0,Low Demand,✅ Profitable Product
20762,382.46,101,51,42,0,382.46,0,382.46,0,Low Demand,✅ Profitable Product
20763,189.96,71,25,24,0,189.96,0,189.96,0,Low Demand,📉 Low Performance
20764,491.13,128,60,45,0,491.13,0,491.13,0,Low Demand,✅ Profitable Product
20765,374.84,96,51,45,0,374.84,0,374.84,0,Low Demand,✅ Profitable Product
20766,422.08,113,47,41,0,422.08,0,422.08,0,Low Demand,✅ Profitable Product
20767,541.97,217,58,50,0,541.97,0,541.97,0,Low Demand,✅ Profitable Product
20768,320.26,131,36,31,0,320.26,0,320.26,0,Low Demand,✅ Profitable Product
20769,173.12,66,26,21,0,173.12,0,173.12,0,Low Demand,📉 Low Performance
20770,259.2,108,28,24,0,259.2,0,259.2,0,Low Demand,✅ Profitable Product
20771,183.46,71,27,21,0,183.46,0,183.46,0,Low Demand,📉 Low Performance
20772,531.91,217,47,40,1,534.46,-2.55,531.91,0,Low Demand,✅ Profitable Product
20773,92.4,56,23,21,0,92.4,0,92.4,0,Low Demand,📉 Low Performance
20774,85.8,52,22,21,0,85.8,0,85.8,0,Low Demand,📉 Low Performance
20775,105.6,64,20,19,0,105.6,0,105.6,0,Low Demand,📉 Low Performance
20777,156.75,95,36,32,0,156.75,0,156.75,0,Low Demand,📉 Low Performance
20778,24.75,15,8,8,0,24.75,0,24.75,0,Low Demand,📉 Low Performance
20780,198.35,37,17,13,0,198.35,0,198.35,0,Low Demand,📉 Low Performance
20781,156.03,31,21,19,1,161.52,-5.49,156.03,0,Low Demand,📉 Low Performance
20782,221.36,40,17,12,0,221.36,0,221.36,0,Low Demand,✅ Profitable Product
20785,523.3,14,5,4,0,523.3,0,523.3,0,Low Demand,✅ Profitable Product
20793,20.25,3,5,4,1,54,-33.75,20.25,0,Low Demand,📉 Low Performance
20794,190.2,76,17,15,2,213.15,-22.95,190.2,0,Low Demand,📉 Low Performance
20795,79.8,38,10,6,2,92.4,-12.6,79.8,0,Low Demand,📉 Low Performance
20796,100.65,61,8,8,0,100.65,0,100.65,0,Low Demand,📉 Low Performance
20798,69,32,6,6,1,75.6,-6.6,69,0,Low Demand,📉 Low Performance
20801,684.16,816,56,47,2,708.16,-24,684.16,0,Low Demand,✅ Profitable Product
20802,710.37,609,46,40,2,730.44,-20.07,710.37,0,Low Demand,✅ Profitable Product
20803,357.69,849,33,26,2,386.25,-28.56,357.69,0,Low Demand,✅ Profitable Product
20816,15.6,8,2,1,0,15.6,0,15.6,0,Low Demand,📉 Low Performance
20818,20,12,2,2,0,20,0,20,0,Low Demand,📉 Low Performance
20819,183.71,48,16,14,0,183.71,0,183.71,0,Low Demand,📉 Low Performance
20820,24.75,5,2,2,0,24.75,0,24.75,0,Low Demand,📉 Low Performance
20821,19.8,4,7,5,2,79.2,-59.4,19.8,0,Low Demand,📉 Low Performance
20823,129.56,164,7,6,0,129.56,0,129.56,0,Low Demand,📉 Low Performance
20826,128.4,276,8,7,0,128.4,0,128.4,0,Low Demand,📉 Low Performance
20827,34.32,88,2,1,0,34.32,0,34.32,0,Low Demand,📉 Low Performance
20828,2494.2,1012,177,116,0,2494.2,0,2494.2,0,Low Demand,✅ Profitable Product
20829,2325.23,1145,169,90,6,2530.49,-205.26,2325.23,0,Low Demand,✅ Profitable Product
20830,155.4,74,21,20,1,157.5,-2.1,155.4,0,Low Demand,📉 Low Performance
20831,272.34,169,24,19,0,272.34,0,272.34,0,Low Demand,✅ Profitable Product
20832,526.19,1033,56,47,1,527.04,-0.85,526.19,0,Low Demand,✅ Profitable Product
20835,54.78,66,7,7,0,54.78,0,54.78,0,Low Demand,📉 Low Performance
20836,131.14,158,18,14,1,141.1,-9.96,131.14,0,Low Demand,📉 Low Performance
20837,142.47,141,15,14,0,142.47,0,142.47,0,Low Demand,📉 Low Performance
20838,272.74,318,34,30,1,282.94,-10.2,272.74,0,Low Demand,✅ Profitable Product
20839,411.84,452,49,44,0,411.84,0,411.84,0,Low Demand,✅ Profitable Product
20840,389.08,452,44,35,1,399.28,-10.2,389.08,0,Low Demand,✅ Profitable Product
20845,120.65,19,11,7,0,120.65,0,120.65,0,Low Demand,📉 Low Performance
20846,785.47,647,62,50,0,785.47,0,785.47,0,Low Demand,✅ Profitable Product
20847,172.5,46,14,12,0,172.5,0,172.5,0,Low Demand,📉 Low Performance
20848,61.95,21,8,7,0,61.95,0,61.95,0,Low Demand,📉 Low Performance
20851,53.55,9,7,5,0,53.55,0,53.55,0,Low Demand,📉 Low Performance
20854,233,152,18,16,1,256.1,-23.1,233,0,Low Demand,✅ Profitable Product
20856,214.5,130,28,26,1,231,-16.5,214.5,0,Low Demand,✅ Profitable Product
20857,28.05,17,9,7,1,52.8,-24.75,28.05,0,Low Demand,📉 Low Performance
20861,4.2,2,2,2,0,4.2,0,4.2,0,Low Demand,📉 Low Performance
20866,361.39,289,38,34,1,488.59,-127.2,361.39,0,Low Demand,✅ Profitable Product
20867,231.47,187,25,23,0,231.47,0,231.47,0,Low Demand,✅ Profitable Product
20868,159.26,381,31,29,0,159.26,0,159.26,0,Low Demand,📉 Low Performance
20869,54.21,139,17,17,0,54.21,0,54.21,0,Low Demand,📉 Low Performance
20878,31.25,25,7,7,0,31.25,0,31.25,0,Low Demand,📉 Low Performance
20886,841.65,447,78,56,1,853.35,-11.7,841.65,0,Low Demand,✅ Profitable Product
20892,12.75,1,1,1,0,12.75,0,12.75,0,Low Demand,📉 Low Performance
20893,493.5,223,20,16,1,569.1,-75.6,493.5,0,Low Demand,✅ Profitable Product
20894,73.75,25,9,9,0,73.75,0,73.75,0,Low Demand,📉 Low Performance
20897,194.95,73,10,9,2,230.35,-35.4,194.95,0,Low Demand,📉 Low Performance
20898,56.05,19,5,4,1,73.75,-17.7,56.05,0,Low Demand,📉 Low Performance
20901,12.7,2,3,2,1,25.4,-12.7,12.7,0,Low Demand,📉 Low Performance
20902,190.35,33,6,6,0,190.35,0,190.35,0,Low Demand,📉 Low Performance
20903,127,20,10,10,0,127,0,127,0,Low Demand,📉 Low Performance
20906,8.85,3,2,2,0,8.85,0,8.85,0,Low Demand,📉 Low Performance
20910,50.8,8,3,2,0,50.8,0,50.8,0,Low Demand,📉 Low Performance
20914,17003.13,6063,798,360,34,17303.98,-300.85,17003.13,1,Stable,✅ Profitable Product
20931,753.15,249,39,35,2,794.45,-41.3,753.15,0,Low Demand,✅ Profitable Product
20932,486.75,179,24,22,2,516.25,-29.5,486.75,0,Low Demand,✅ Profitable Product
20933,71.05,23,9,9,0,71.05,0,71.05,0,Low Demand,📉 Low Performance
20934,219,40,24,22,4,294.3,-75.3,219,0,Low Demand,✅ Profitable Product
20935,17.7,6,4,4,0,17.7,0,17.7,0,Low Demand,📉 Low Performance
20936,270.03,91,27,21,1,272.98,-2.95,270.03,0,Low Demand,✅ Profitable Product
20941,73.75,59,18,14,1,76.25,-2.5,73.75,0,Low Demand,📉 Low Performance
20956,909.88,725,61,51,2,916.13,-6.25,909.88,0,Low Demand,✅ Profitable Product
20957,-1.45,-1,1,1,1,0,-1.45,-1.45,0,Low Demand,🚨 Loss Making Product
20961,1243.11,979,128,82,1,1305.61,-62.5,1243.11,0,Low Demand,✅ Profitable Product
20963,1400.49,1102,122,83,0,1400.49,0,1400.49,0,Low Demand,✅ Profitable Product
20964,5.1,2,1,1,0,5.1,0,5.1,0,Low Demand,📉 Low Performance
20966,698.25,589,41,28,0,698.25,0,698.25,0,Low Demand,✅ Profitable Product
20967,963.75,257,75,63,0,963.75,0,963.75,0,Low Demand,✅ Profitable Product
20969,5754.24,1587,259,157,3,6734.31,-980.07,5754.24,2,Hidden Loss,✅ Profitable Product
20970,3972.38,1078,232,141,2,3983.63,-11.25,3972.38,2,Hidden Loss,✅ Profitable Product
20971,8850.62,7608,461,277,5,11629.39,-2778.77,8850.62,2,Hidden Loss,✅ Profitable Product
20972,8618.49,7107,537,312,2,8648.49,-30,8618.49,2,Hidden Loss,✅ Profitable Product
20973,2548.55,4003,278,192,2,2551.15,-2.6,2548.55,2,Hidden Loss,✅ Profitable Product
20974,3867.2,6168,294,195,3,4235.1,-367.9,3867.2,2,Hidden Loss,✅ Profitable Product
20975,4023.2,6280,311,231,4,4101.2,-78,4023.2,2,Hidden Loss,✅ Profitable Product
20977,1878.18,1522,146,111,4,1971.93,-93.75,1878.18,0,Low Demand,✅ Profitable Product
20978,1994.43,1615,180,133,1,2014.43,-20,1994.43,0,Low Demand,✅ Profitable Product
20979,4033.51,3363,246,165,16,4233.51,-200,4033.51,2,Hidden Loss,⚠️ High Return Risk
20980,22.5,18,12,11,1,33.75,-11.25,22.5,0,Low Demand,📉 Low Performance
20981,1557.2,1832,212,157,4,1573.35,-16.15,1557.2,2,Hidden Loss,✅ Profitable Product
20982,1706.51,2015,218,158,3,1709.91,-3.4,1706.51,2,Hidden Loss,✅ Profitable Product
20983,2242.01,2645,237,185,3,2247.96,-5.95,2242.01,2,Hidden Loss,✅ Profitable Product
20984,1162.05,3785,168,135,1,1169.01,-6.96,1162.05,2,Hidden Loss,✅ Profitable Product
20985,1141.45,1001,90,66,3,1160.88,-19.43,1141.45,0,Low Demand,✅ Profitable Product
20986,546.76,462,58,40,0,546.76,0,546.76,0,Low Demand,✅ Profitable Product
20992,1867.05,4365,244,162,0,1867.05,0,1867.05,2,Hidden Loss,✅ Profitable Product
20996,648.69,3057,184,124,0,648.69,0,648.69,0,Low Demand,✅ Profitable Product
20997,74.25,15,5,4,0,74.25,0,74.25,0,Low Demand,📉 Low Performance
20998,348.25,119,28,27,0,348.25,0,348.25,0,Low Demand,✅ Profitable Product
21000,195.5,46,16,16,0,195.5,0,195.5,0,Low Demand,📉 Low Performance
21001,148.75,25,12,12,0,148.75,0,148.75,0,Low Demand,📉 Low Performance
21002,55.25,13,5,5,0,55.25,0,55.25,0,Low Demand,📉 Low Performance
21003,82.55,13,6,6,0,82.55,0,82.55,0,Low Demand,📉 Low Performance
21011,26.1,18,2,2,0,26.1,0,26.1,0,Low Demand,📉 Low Performance
21012,1127,564,81,66,1,1133.3,-6.3,1127,0,Low Demand,✅ Profitable Product
21014,455.57,1233,66,64,0,455.57,0,455.57,0,Low Demand,✅ Profitable Product
21015,376.75,1247,67,59,1,377.91,-1.16,376.75,0,Low Demand,✅ Profitable Product
21018,18.7,22,4,4,0,18.7,0,18.7,0,Low Demand,📉 Low Performance
21025,127.25,100,16,14,0,127.25,0,127.25,0,Low Demand,📉 Low Performance
21026,177.37,143,22,20,0,177.37,0,177.37,0,Low Demand,📉 Low Performance
21027,122.45,101,17,16,0,122.45,0,122.45,0,Low Demand,📉 Low Performance
